R,G,B,class
170.9643555,106.361084,55.46923828,chickoo
216.2250977,190.2734375,164.8703613,chickoo
95.2668457,98.06225586,44.49316406,chickoo
191.1015625,158.6933594,118.5734863,chickoo
210.9589844,183.2460938,143.3959961,chickoo
229.1669922,213.2792969,191.4648438,chickoo
84.00146484,109.4594727,119.4389648,chickoo
200.512207,145.4985352,119.8803711,chickoo
202.6821289,180.1633301,154.0578613,chickoo
149.9650879,137.7226563,125.0991211,chickoo
128.0078125,86.38427734,38.75561523,chickoo
127.1779785,141.0859375,77.41088867,chickoo
78.77392578,114.605957,87.19750977,chickoo
84.96606445,92.65429688,29.48413086,chickoo
101.7856445,106.3395996,64.73779297,chickoo
140.6303711,132.6623535,132.6384277,chickoo
99.98339844,138.6950684,86.4284668,chickoo
141.5339355,115.8530273,62.32519531,chickoo
215.0192871,234.887207,214.7380371,chickoo
149.3945313,143.1711426,87.75830078,chickoo
148.201416,107.6750488,81.65258789,chickoo
236.6308594,215.854248,179.4680176,chickoo
192.4262695,145.9931641,102.7768555,chickoo
214.2717285,175.5576172,113.4006348,chickoo
164.7946777,138.722168,114.973877,chickoo
130.796875,125.1774902,85.3112793,chickoo
189.7373047,141.019043,78.09472656,chickoo
182.6833496,161.3410645,129.5644531,chickoo
107.1037598,117.4196777,49.1550293,chickoo
194.1555176,173.2058105,146.7658691,chickoo
127.0141602,141.0717773,77.42529297,chickoo
157.9516602,132.5515137,101.7602539,chickoo
217.5532227,210.5869141,203.5415039,chickoo
219.4824219,207.1757813,193.1201172,chickoo
122.7160645,129.0842285,114.0964355,chickoo
92.62548828,63.3190918,38.98413086,chickoo
209.4748535,162.6738281,92.21679688,chickoo
213.5703125,176.5222168,132.3913574,chickoo
202.6721191,191.7583008,164.8642578,chickoo
234.5661621,215.4182129,186.6247559,chickoo
209.4204102,216.8962402,196.1606445,kiwi
218.1340332,201.4943848,160.7724609,kiwi
197.236084,206.5905762,149.1794434,kiwi
207.9477539,199.0759277,154.855957,kiwi
136.4470215,105.0471191,48.03564453,kiwi
201.3701172,206.692627,157.7563477,kiwi
179.7431641,179.8554688,147.5991211,kiwi
101.0317383,165.6674805,62.47094727,kiwi
131.5671387,121.1257324,68.34057617,kiwi
226.9077148,229.3706055,210.546875,kiwi
218.7824707,224.5705566,195.6450195,kiwi
192.5588379,188.9645996,137.0402832,kiwi
142.9938965,102.7165527,31.05175781,kiwi
226.4995117,224.3911133,197.6286621,kiwi
206.2521973,203.0090332,156.7294922,kiwi
194.1516113,192.7341309,156.4782715,kiwi
223.3381348,222.012207,189.0844727,kiwi
161.6518555,169.8400879,23.31079102,kiwi
180.9335938,186.6452637,129.3244629,kiwi
221.3815918,218.7229004,179.2619629,kiwi
171.3374023,174.1367188,37.88525391,kiwi
198.5881348,204.6276855,152.703125,kiwi
203.6477051,201.7026367,169.2600098,kiwi
211.6101074,202.8398438,167.628418,kiwi
214.420166,192.28125,165.6958008,kiwi
204.5300293,207.3015137,131.3286133,kiwi
180.3620605,182.5979004,142.8144531,kiwi
190.6193848,177.5241699,152.1147461,kiwi
88.73583984,93.32592773,48.74536133,kiwi
189.8100586,185.814209,145.2087402,kiwi
138.4829102,103.3522949,88.58569336,kiwi
201.3703613,198.4016113,181.706543,kiwi
211.0285645,212.5568848,183.8171387,kiwi
151.5241699,166.8735352,100.9267578,kiwi
188.8100586,196.236084,165.4753418,kiwi
190.8857422,194.0288086,153.0942383,kiwi
179.8359375,182.0837402,141.855957,kiwi
209.6955566,208.557373,170.8510742,kiwi
147.0214844,132.5410156,74.52392578,kiwi
208.4509277,200.9558105,166.9318848,kiwi
193.7392578,69.63769531,51.39306641,strawberry
213.6057129,164.4794922,161.2358398,strawberry
210.6645508,193.8344727,176.7607422,strawberry
206.5576172,149.5939941,140.7487793,strawberry
177.6652832,46.72290039,31.49243164,strawberry
133.576416,43.62524414,38.74633789,strawberry
203.9978027,147.0319824,136.3618164,strawberry
209.8383789,189.4655762,178.4260254,strawberry
146.1828613,39.12182617,16.82763672,strawberry
231.1696777,172.0727539,149.6279297,strawberry
226.6882324,182.8464355,175.1188965,strawberry
105.3666992,45.07470703,10.62646484,strawberry
237.576416,217.7336426,213.3659668,strawberry
137.6591797,102.9758301,97.80395508,strawberry
140.3618164,26.37060547,19.03515625,strawberry
108.5200195,83.65576172,62.70361328,strawberry
231.5085449,190.7873535,182.059082,strawberry
212.0007324,164.4589844,150.1481934,strawberry
108.7067871,122.7106934,85.32519531,strawberry
110.2709961,81.13354492,49.05151367,strawberry
159.2443848,58.50268555,54.46826172,strawberry
137.454834,44.56518555,40.35546875,strawberry
221.3654785,178.7329102,174.4707031,strawberry
223.8674316,185.0036621,164.6086426,strawberry
171.8256836,85.64648438,73.18286133,strawberry
164.4572754,148.9914551,127.0124512,strawberry
148.6318359,84.50244141,60.11108398,strawberry
199.3793945,92.81005859,83.59765625,strawberry
234.880127,209.0734863,206.0874023,strawberry
221.3549805,178.7636719,174.520752,strawberry
235.6115723,176.0119629,174.9855957,strawberry
214.8588867,54.29956055,37.57177734,strawberry
231.2753906,203.1271973,194.6687012,strawberry
184.2958984,95.58959961,73.69042969,strawberry
190.3310547,48.89990234,32.7512207,strawberry
193.2553711,126.519043,120.6508789,strawberry
174.6994629,40.63330078,32.23266602,strawberry
82.04907227,120.5029297,37.90869141,strawberry
136.2626953,99.3671875,88.75854492,strawberry
